planet_name,host_star,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temperature,star_temperature,star_radius,star_mass,distance_pc,right_ascension,declination
Kepler-279 e,Kepler-279,Transit,2025,98.353149,,,,6689.45,1.35292,1.42,1037.4,287.391295,42.194822
Kepler-28 b,Kepler-28,Transit,2011,5.9123,3.6,479.9,,4590.0,0.7,0.75,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.912268297,2.153,,,4674.0,0.641,0.701,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,,1.971,,,4674.0,0.649,,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.91212988,1.86,,583.0,4072.0,0.57,0.59,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.912262,2.17,,694.0,4663.0,0.638,0.662,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.912,2.93,8.8,,,0.57,0.59,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.91,2.15,,,,,,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.912268297,2.41,,,4690.0,0.71,0.77,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.91,1.959,1.63,,4499.3,0.664,0.684,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.91227219,,,,4660.99,0.650472,0.742,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.912268297,1.92,,585.0,4072.0,0.57,0.59,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.912273234,1.73,,585.0,4072.0,0.57,0.586,438.359,292.1370409,42.4294835
Kepler-28 b,Kepler-28,Transit,2011,5.912273234,,,,4660.99,0.650472,0.742,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.99,1.857,2.06,,4499.3,0.664,0.684,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.98584768,1.94,,509.0,4072.0,0.57,0.59,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.99,2.06,,,,,,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.98581901,1.65,,509.0,4072.0,0.57,0.586,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.98584768,2.176,,,4674.0,0.641,0.701,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.985847,,,,4660.99,0.650472,0.742,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.9857,2.02,,604.0,4663.0,0.638,0.662,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.9858,3.4,432.23,,4590.0,0.7,0.75,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.98581901,,,,4660.99,0.650472,0.742,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.986,2.77,10.9,,,0.57,0.59,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,,1.879,,,4674.0,0.649,,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.98584768,2.41,,,4690.0,0.71,0.77,438.359,292.1370409,42.4294835
Kepler-28 c,Kepler-28,Transit,2011,8.98596954,1.73,,507.0,4072.0,0.57,0.59,438.359,292.1370409,42.4294835
Kepler-280 b,Kepler-280,Transit,2014,2.13955119,,,,5451.96,1.04079,0.95,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.139556503,1.52,,,5657.0,0.93,0.96,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.1395563,,,,5451.96,1.04079,0.95,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.139564,1.4,,1311.0,5738.0,0.86,0.957,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,,1.613,,,5541.0,0.988,,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.1395386874,,,,5451.96,1.04079,0.95,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.1395563,1.76,,1425.0,5534.0,1.08,0.926,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.139556503,1.42,,1314.0,5741.0,0.856,0.934,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.139542,1.45,,,5744.0,0.886,,780.361,291.3905325,42.1804735
Kepler-280 b,Kepler-280,Transit,2014,2.139556503,1.606,,,5541.0,0.971,0.962,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.807099588,2.04,,,5657.0,0.93,0.96,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.807099588,2.087,,,5541.0,0.971,0.962,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.807103254,,,,5451.96,1.04079,0.95,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.807099588,1.84,,1004.0,5741.0,0.856,0.934,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.807091,2.01,,,5744.0,0.886,,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,,2.708,,,5541.0,0.988,,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.807078,2.41,,1000.0,5738.0,0.86,0.957,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.80710342,,,,5451.96,1.04079,0.95,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.807103254,2.96,,1088.0,5534.0,1.08,0.926,780.361,291.3905325,42.1804735
Kepler-280 c,Kepler-280,Transit,2014,4.8070999843,,,,5451.96,1.04079,0.95,780.361,291.3905325,42.1804735
Kepler-281 b,Kepler-281,Transit,2014,14.646131,,620.032,,,1.293,0.984,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.646131,,324.0,,,1.293,0.984,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.64627064,2.41,,,5623.0,0.93,0.95,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.64627064,2.33,,694.0,5717.0,0.884,0.984,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.64633684,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.646008,2.82,,,5723.0,0.899,,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,,3.245,,,5723.0,1.293,,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.6461411061,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.64613058,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.64613,2.2,,676.0,5675.0,0.84,0.943,1745.45,294.1081465,44.7706524
Kepler-281 b,Kepler-281,Transit,2014,14.64613058,2.22,,694.0,5717.0,0.884,0.984,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.33750453,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.33767,4.9,,499.0,5675.0,0.84,0.943,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.33730238,5.39,,513.0,5717.0,0.884,0.984,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.337505,,69.6183,,,1.293,0.984,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.33730238,5.67,,,5623.0,0.93,0.95,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.33725707,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,,7.747,,,5723.0,1.293,,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.337505,,161.124,,,1.293,0.984,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.337373,5.31,,,5723.0,0.899,,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.3375548681,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 c,Kepler-281,Transit,2014,36.33750453,5.3,,513.0,5717.0,0.884,0.984,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.27201,,557.0,,,1.293,0.984,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.2682,18.0,,313.0,5675.0,0.84,0.943,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.272013,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.27201,,654.0,,,1.293,0.984,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.2722671,4.52,,321.0,5717.0,0.884,0.984,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.27228643,,,,5461.0,1.32221,0.95,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.272013,4.3,,321.0,5717.0,0.884,0.984,1745.45,294.1081465,44.7706524
Kepler-281 d,Kepler-281,Transit,2021,148.2720032,5.93747806,,,5717.0,0.884,0.984,1745.45,294.1081465,44.7706524
Kepler-282 b,Kepler-282,Transit,2014,9.2206889,1.04,,868.0,6102.0,0.887,0.968,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,9.2207691,1.02,,817.0,5600.0,0.872,0.793,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,9.220524,1.01,,,5602.0,0.904,,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,9.2206889,1.07,,,5699.0,0.89,0.9,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,9.2206889,1.327,,,5656.0,1.129,0.86,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,9.22123,1.29,,910.0,6144.0,0.99,1.082,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,9.2204663608,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,,1.363,,,5656.0,1.162,,1337.61,284.6772402,44.7976401
Kepler-282 b,Kepler-282,Transit,2014,9.2207691,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,,1.471,,,5656.0,1.162,,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.639525,1.22,,762.0,6102.0,0.887,0.968,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.638723,1.2,,,5602.0,0.904,,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.6382297991,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.6396648,1.1,,717.0,5600.0,0.872,0.793,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.639525,1.554,,,5656.0,1.129,0.86,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.639525,1.26,,,5699.0,0.89,0.9,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.6396648,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 c,Kepler-282,Transit,2014,13.63894,1.33,,796.0,6144.0,0.99,1.082,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.8056775,2.16,,588.0,5600.0,0.872,0.793,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.805734003,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.8056775,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.80568031,2.3,,624.0,6102.0,0.887,0.968,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.80568031,2.928,,,5656.0,1.129,0.86,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.806,2.46,61.0,,,0.89,0.97,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.80568031,2.33,,,5699.0,0.89,0.9,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,,2.878,,,5656.0,1.162,,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.80565653,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 d,Kepler-282,Transit,2013,24.80446,2.46,,653.0,6144.0,0.99,1.082,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.3470995,2.63,,,5699.0,0.89,0.9,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.3471936,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.34738006,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.3470995,2.59,,515.0,6102.0,0.887,0.968,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.3473848107,,,,5848.0,1.10046,1.06,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.3471936,2.45,,484.0,5600.0,0.872,0.793,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.34713,3.1,,538.0,6144.0,0.99,1.082,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.347,3.1,56.2,,,0.89,0.97,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,,3.266,,,5656.0,1.162,,1337.61,284.6772402,44.7976401
Kepler-282 e,Kepler-282,Transit,2013,44.3470995,3.295,,,5656.0,1.129,0.86,1337.61,284.6772402,44.7976401
Kepler-283 b,Kepler-283,Transit,2014,11.00815926,3.25,,653.0,5189.0,0.72,0.76,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.00817635,2.15,,488.0,4141.0,0.582,0.596,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.00816627,,,,4250.0,0.631396,0.664,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.00823021,3.44,,651.0,5189.0,0.72,0.76,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.0081630023,,,,4250.0,0.631396,0.664,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,,2.371,,,4141.0,0.64,,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.008121,2.77,,501.0,4327.0,0.566,0.596,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.00817635,,,,4250.0,0.631396,0.664,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,,3.063,,,4141.0,0.626,0.662,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.008151,2.13,,,4351.0,0.566,,468.094,293.6137413,47.838938
Kepler-283 b,Kepler-283,Transit,2014,11.00815926,2.69,,,4251.0,0.6,0.63,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.74812144,,,,4250.0,0.631396,0.664,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,,2.055,,,4141.0,0.64,,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.749023,32.3,,,4251.0,0.6,0.63,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,,2.311,,,4141.0,0.626,0.662,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.749023,38.67,,321.0,5189.0,0.72,0.76,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.743711,1.82,,,4351.0,0.566,,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.7495777,1.87,,240.0,4141.0,0.582,0.596,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.7493557741,,,,4250.0,0.631396,0.664,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.7495777,,,,4250.0,0.631396,0.664,468.094,293.6137413,47.838938
Kepler-283 c,Kepler-283,Transit,2014,92.7388,2.09,,247.0,4327.0,0.566,0.596,468.094,293.6137413,47.838938
Kepler-284 b,Kepler-284,Transit,2014,12.69902995,2.44,,701.0,5614.0,0.827,0.908,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.69902995,2.57,,,5487.0,0.87,0.91,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.6990485,,,,5366.0,0.781389,0.93,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.69902995,2.228,,,5219.0,0.755,0.766,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.699149,2.24,,,5615.0,0.814,,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.699063444,,,,5366.0,0.781389,0.93,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,,2.301,,,5219.0,0.774,,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.69905011,2.62,,686.0,5291.0,0.882,0.875,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.69906,2.54,,692.0,5603.0,0.82,0.923,1031.95,293.1465698,47.7297053
Kepler-284 b,Kepler-284,Transit,2014,12.69905011,,,,5366.0,0.781389,0.93,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.5140693,2.8,,489.0,5614.0,0.827,0.908,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.514456,2.61,,,5615.0,0.814,,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,,2.349,,,5219.0,0.774,,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.51428788,,,,5366.0,0.781389,0.93,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.5142128,2.68,,478.0,5291.0,0.882,0.875,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.5140693,2.562,,,5219.0,0.755,0.766,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.5140693,2.95,,,5487.0,0.87,0.91,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.51391,2.34,,483.0,5603.0,0.82,0.923,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.5141962983,,,,5366.0,0.781389,0.93,1031.95,293.1465698,47.7297053
Kepler-284 c,Kepler-284,Transit,2014,37.5142128,,,,5366.0,0.781389,0.93,1031.95,293.1465698,47.7297053
Kepler-285 b,Kepler-285,Transit,2014,2.633857233,1.478,,,5296.0,0.846,0.915,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,2.633893,1.27,,1092.0,5381.0,0.76,0.865,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,2.633867,1.34,,,5411.0,0.808,,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,,1.354,,,5296.0,0.859,,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,2.633852528,1.38,,1131.0,5114.0,0.878,0.817,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,2.633857233,1.41,,,5300.0,0.81,0.85,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,2.633857233,1.4,,1125.0,5400.0,0.801,0.895,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,2.6338653606,,,,5282.0,0.865843,0.91,824.31,291.3908469,48.0655392
Kepler-285 b,Kepler-285,Transit,2014,2.633852528,,,,5282.0,0.865843,0.91,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.18670882,,,,5282.0,0.865843,0.91,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.18666218,1.173,,,5296.0,0.846,0.915,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.1866965315,,,,5282.0,0.865843,0.91,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.18666218,1.11,,847.0,5400.0,0.801,0.895,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.18666218,1.15,,,5300.0,0.81,0.85,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.18670882,1.21,,851.0,5114.0,0.878,0.817,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.186676,1.12,,,5411.0,0.808,,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,,1.187,,,5296.0,0.859,,824.31,291.3908469,48.0655392
Kepler-285 c,Kepler-285,Transit,2014,6.18677,1.13,,825.0,5381.0,0.76,0.865,824.31,291.3908469,48.0655392
Kepler-286 b,Kepler-286,Transit,2014,1.796320953,1.2,,1367.0,5576.0,0.829,0.8,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,1.796324389,1.37,,1476.0,5970.0,0.908,0.996,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,1.796324389,1.296,,,5559.0,0.856,0.83,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,1.796311,1.33,,1489.0,5969.0,0.93,1.03,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,1.7962979403,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,1.796320953,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,,1.273,,,5559.0,0.881,,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,1.796302,1.24,,,5580.0,0.863,,1226.85,290.6761874,48.2942362
Kepler-286 b,Kepler-286,Transit,2014,1.796324389,1.39,,,5742.0,0.91,0.96,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.46808239,1.388,,,5559.0,0.856,0.83,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.468095,1.37,,,5580.0,0.863,,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.46808239,1.47,,1186.0,5970.0,0.908,0.996,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.4680344451,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.468052,1.49,,1196.0,5969.0,0.93,1.03,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.46808239,1.49,,,5742.0,0.91,0.96,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,,1.371,,,5559.0,0.881,,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.468073,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 c,Kepler-286,Transit,2014,3.468073,1.29,,1098.0,5576.0,0.829,0.8,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.91428767,1.48,,992.0,5970.0,0.908,0.996,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.9143009427,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,,1.393,,,5559.0,0.881,,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.914256,1.46,,995.0,5969.0,0.93,1.03,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.91428767,1.49,,,5742.0,0.91,0.96,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.914323,1.33,,,5580.0,0.863,,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.91428767,1.391,,,5559.0,0.856,0.83,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.9142668,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 d,Kepler-286,Transit,2014,5.9142668,1.31,,919.0,5576.0,0.829,0.8,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.2215101,1.79,,582.0,5970.0,0.908,0.996,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.2214959,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.2212357685,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.221289,1.77,,,5580.0,0.863,,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.2215101,1.688,,,5559.0,0.856,0.83,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.2214959,1.81,,539.0,5576.0,0.829,0.8,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.22144,1.78,,587.0,5969.0,0.93,1.03,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.2215101,1.79,,,5742.0,0.91,0.96,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,29.22126129,,,,5600.0,0.929313,0.99,1226.85,290.6761874,48.2942362
Kepler-286 e,Kepler-286,Transit,2014,,1.921,,,5559.0,0.881,,1226.85,290.6761874,48.2942362
Kepler-287 b,Kepler-287,Transit,2014,20.3421233771,,,,5486.3,0.94821,0.96,835.86,290.9274282,48.4434588
Kepler-287 b,Kepler-287,Transit,2014,20.34234237,2.152,,,5547.0,0.905,0.963,835.86,290.9274282,48.4434588
Kepler-287 b,Kepler-287,Transit,2014,,2.481,,,5547.0,0.922,,835.86,290.9274282,48.4434588
Kepler-287 b,Kepler-287,Transit,2014,20.34234237,2.4,,680.0,5800.0,1.012,0.947,835.86,290.9274282,48.4434588
Kepler-287 b,Kepler-287,Transit,2014,20.34237838,2.88,,667.0,5514.0,1.071,0.926,835.86,290.9274282,48.4434588
Kepler-287 b,Kepler-287,Transit,2014,20.342378,,83.0,,,0.906,0.963,835.86,290.9274282,48.4434588
Kepler-287 b,Kepler-287,Transit,2014,20.34230286,,,,5486.3,0.94821,0.96,835.86,290.9274282,48.4434588
Kepler-287 b,Kepler-287,Transit,2014,20.342199,2.33,,,5806.0,1.032,,835.86,290.9274282,48.4434588
